Team,Date,Home_Away,Opp,W/L,W-L,Date_Clean
BAL,"Thursday, Mar 29",Home,MIN,W-wo,1-0,Mar 29 2018
BAL,"Saturday, Mar 31",Home,MIN,L,1-1,Mar 31 2018
BAL,"Sunday, Apr 1",Home,MIN,L,1-2,Apr 1 2018
BAL,"Monday, Apr 2",@,HOU,L,1-3,Apr 2 2018
BAL,"Tuesday, Apr 3",@,HOU,L,1-4,Apr 3 2018
BAL,"Wednesday, Apr 4",@,HOU,L,1-5,Apr 4 2018
BAL,"Thursday, Apr 5",@,NYY,W,2-5,Apr 5 2018
BAL,"Friday, Apr 6",@,NYY,W,3-5,Apr 6 2018
BAL,"Saturday, Apr 7",@,NYY,L,3-6,Apr 7 2018
BAL,"Sunday, Apr 8",@,NYY,W,4-6,Apr 8 2018
BAL,"Monday, Apr 9",Home,TOR,L,4-7,Apr 9 2018
BAL,"Tuesday, Apr 10",Home,TOR,L,4-8,Apr 10 2018
BAL,"Wednesday, Apr 11",Home,TOR,W,5-8,Apr 11 2018
BAL,"Friday, Apr 13",@,BOS,L,5-9,Apr 13 2018
BAL,"Saturday, Apr 14",@,BOS,L,5-10,Apr 14 2018
BAL,"Sunday, Apr 15",@,BOS,L,5-11,Apr 15 2018
BAL,"Tuesday, Apr 17",@,DET,L,5-12,Apr 17 2018
BAL,"Wednesday, Apr 18",@,DET,L-wo,5-13,Apr 18 2018
BAL,"Thursday, Apr 19",@,DET,L,5-14,Apr 19 2018
BAL,"Friday, Apr 20",Home,CLE,W,6-14,Apr 20 2018
BAL,"Saturday, Apr 21",Home,CLE,L,6-15,Apr 21 2018
BAL,"Sunday, Apr 22",Home,CLE,L,6-16,Apr 22 2018
BAL,"Monday, Apr 23",Home,CLE,L,6-17,Apr 23 2018
BAL,"Wednesday, Apr 25",Home,TBR,L,6-18,Apr 25 2018
BAL,"Thursday, Apr 26",Home,TBR,L,6-19,Apr 26 2018
BAL,"Friday, Apr 27",Home,DET,W,7-19,Apr 27 2018
BAL,"Saturday, Apr 28",Home,DET,L,7-20,Apr 28 2018
BAL,"Sunday, Apr 29",Home,DET,W,8-20,Apr 29 2018
BAL,"Tuesday, May 1",@,LAA,L-wo,8-21,May 1 2018
BAL,"Wednesday, May 2",@,LAA,L,8-22,May 2 2018
BAL,"Thursday, May 3",@,LAA,L,8-23,May 3 2018
BAL,"Friday, May 4",@,OAK,L,8-24,May 4 2018
BAL,"Saturday, May 5",@,OAK,L-wo,8-25,May 5 2018
BAL,"Sunday, May 6",@,OAK,L,8-26,May 6 2018
BAL,"Tuesday, May 8",Home,KCR,L,8-27,May 8 2018
BAL,"Wednesday, May 9",Home,KCR,W,9-27,May 9 2018
BAL,"Thursday, May 10",Home,KCR,W,10-27,May 10 2018
BAL,"Friday, May 11",Home,TBR,W,11-27,May 11 2018
BAL,"Saturday, May 12 (1)",Home,TBR,W,12-27,May 12  2018
BAL,"Saturday, May 12 (2)",Home,TBR,L,12-28,May 12  2018
BAL,"Sunday, May 13",Home,TBR,W,13-28,May 13 2018
BAL,"Wednesday, May 16",Home,PHI,L,13-29,May 16 2018
BAL,"Thursday, May 17",@,BOS,L,13-30,May 17 2018
BAL,"Friday, May 18",@,BOS,W,14-30,May 18 2018
BAL,"Saturday, May 19",@,BOS,L,14-31,May 19 2018
BAL,"Sunday, May 20",@,BOS,L,14-32,May 20 2018
BAL,"Monday, May 21",@,CHW,W,15-32,May 21 2018
BAL,"Tuesday, May 22",@,CHW,L,15-33,May 22 2018
BAL,"Wednesday, May 23",@,CHW,L,15-34,May 23 2018
BAL,"Thursday, May 24",@,CHW,W,16-34,May 24 2018
BAL,"Friday, May 25",@,TBR,W,17-34,May 25 2018
BAL,"Saturday, May 26",@,TBR,L,17-35,May 26 2018
BAL,"Sunday, May 27",@,TBR,L,17-36,May 27 2018
BAL,"Monday, May 28",Home,WSN,L,17-37,May 28 2018
BAL,"Tuesday, May 29",Home,WSN,L,17-38,May 29 2018
BAL,"Wednesday, May 30",Home,WSN,L,17-39,May 30 2018
BAL,"Friday, Jun 1",Home,NYY,L,17-40,Jun 1 2018
BAL,"Saturday, Jun 2",Home,NYY,L,17-41,Jun 2 2018
BAL,"Tuesday, Jun 5",@,NYM,W,18-41,Jun 5 2018
BAL,"Wednesday, Jun 6",@,NYM,W,19-41,Jun 6 2018
BAL,"Thursday, Jun 7",@,TOR,L-wo,19-42,Jun 7 2018
BAL,"Friday, Jun 8",@,TOR,L,19-43,Jun 8 2018
